Original Token,Corrected Token,Query
bazar,bazar,meena bazar suits
appe,appe,appe maker
xplrboost,xplrboost,xplrboost
nayra,nayra,nayra cut kurta
peake,peake,asics gel peake 2
virat,virat,virat kohli kurta
nayra,nayra,nayra cut dress
zoya,zoya,zoya
nayra,nayra,nayra sut
bazar,bazar,meena bazar suit
icecream,icecream,icecream
google,goggles,swimming google
chaniya,chaniya,navratri chaniya choli
virat,virat,virat kohli rcb jersey
kohli,kohli,virat kohli rcb jersey
kalakari,kalakari,kalakari dress
google,google,google pixel 8a
chaniya,chaniya,chaniya choli for girls
sambalpuri,sambalpuri,sambalpuri sarees for women
rickie,rickie,puma rickie
virat,virat,rcb virat
kohli,kohli,rcb virat kohli jersey
virat,virat,rcb virat kohli jersey
faber,faber,faber castle
downshifter,downshifter,nike downshifter 13 running shoes for men
muzigae,muzigae,muzigae mansion
inddus,inddus,inddus kurta
strobe,strobe,nybae strobe cream
ubtan,ubtan,ubtan face wash
downshifter,downshifter,nike downshifter 12 men
mmtc,mmtc,gold mmtc
dharwad,dharwad,dharwad saree
savi,savi,savi
masala,masala,masala dabba
earmuffs,earmuffs,earmuffs
popcat,popcat,puma popcat slides
modi,modi,modi coat for men
nayra,nayra,nayra cut kurta set
nayra,nayra,nayra kurta
modi,modi,modi suit
kalakari,kalakari,kalakari kurta
sambalpuri,sambalpuri,sambalpuri kurti for women
google,google,google men
catalog,catalog,catalog
rattiman,rattiman,rattiman
nayra,nayra,nayra kurti set
mmtc,mmtc,mmtc 2gm gold coin
macho,macho,amul macho underwear
bazar,bazar,meena bazar kurta set
nayra,nayra,nayra dress
morphy,morphy,morphy richards trimmer
mmtc,mmtc,mmtc coin
victori,victori,victori one
downshifter,downshifter,downshifter 13 men
jawline,jawline,jawline
hairclips,hairclips,hairclips
morphy,morphy,morphy richards
karagiri,karagiri,karagiri
ellis,ellis,john ellis
triveni,triveni,triveni saree
zebronics,zebronics,zebronics soundbar
bazar,bazar,meena bazar sarees
downshifter,downshifter,nike downshifter running shoes
virat,virat,rcb virat jersey
ubtan,ubtan,mama earth ubtan face wash
bharat,bharat,jio bharat
mmtc,mmtc,mmtc gold bar
neerus,neerus,neerus kurta sets
downshifter,downshifter,nike downshifter 12 shoes
modi,modi,modi court
downshifter,downshifter,nike downshifter 13 women
strobe,strobe,strobe cream faces canada
macho,macho,macho under wear
kalakari,kalakari,kalakari
zebronics,zebronics,zebronics sound bar
dynamica,dynamica,reebok zig dynamica
ubtan,ubtan,ubtan
macho,macho,macho underwear for men
nayra,nayra,nayra kurta set
modi,modi,modi jaket
cloudfoam,cloudfoam,adidas cloudfoam shoes
zebronics,zebronics,zebronics headphone
inddus,inddus,inddus dress
inddus,inddus,inddus saree
milenio,milenio,puma milenio tech
bambi,bambi,bambi
vomero,vomero,vomero nike
kylie,kylie,kylie cosmetics
masala,masala,masala container
neerus,neerus,neerus women
downshifter,downshifter,downshifter shoes
virat,virat,rcb jersey virat
rapido,rapido,moda rapido shirt
tsuyosa,tsuyosa,citizen tsuyosa
isro,isro,isro tshirt
macho,macho,macho vest
inddus,inddus,inddus for women
inddus,inddus,inddus kurta sets
kylie,kylie,kylie
strobe,strobe,lakme strobe cream
cloudfoam,cloudfoam,cloudfoam shoes
sambalpuri,sambalpuri,sambalpuri pata
inddus,inddus,inddus women
xpdtn,xpdtn,xpdtn
sambalpuri,sambalpuri,sambalpuri silk saree
vomero,vomero,nike vomero 16
nayra,nayra,nayra cut kurtis
downshifter,downshifter,downshifter men
strobe,strobe,dot and key strobe cream
bazar,bazar,mbz by meena bazar
bobs,bobs,sketchers bobs
nayra,nayra,nayra suit for women
modi,modi,modi kurta
neerus,neerus,neerus kurta set
sambalpuri,sambalpuri,sambalpuri printed sarees for women
bittu,bittu,bittu bag
vinay,vinay,vinay
rapido,rapido,moda rapido jeans
google,google,women google
swisni,swisni,swisni
kraasa,kraasa,kraasa
nayra,nayra,nayra cut kurti set
panch,panch,panch
nayra,nayra,nayra cut suit for women
essences,essences,herbal essences
inddus,inddus,inddus kurta set for women
macho,macho,macho sporto
rapido,rapido,moda rapido shirts
downshifter,downshifter,men downshifter 13
downshifter,downshifter,nike downshifter 12 running shoes
victori,victori,nike victori one slide
muzigae,muzigae,muzigae
nayra,nayra,nayra set
cloudfoam,cloudfoam,adidas cloudfoam go
modi,modi,modi koti
mizyaan,mizyaan,ajmal mizyaan
google,google,men google
bitz,bitz,bitz
akhand,akhand,akhand diya
haru,haru,haru haru wonder
sizzler,sizzler,home sizzler
haru,haru,haru haru wonder
haru,haru,haru haru wonder
google,google,google pixel watch
easies,easies,easies
downshifter,downshifter,downshifter 13 running shoes
xpdtn,xpdtn,dnmx xpdtn shirt
sambalpuri,sambalpuri,sambalpuri shirt for men
sambalpuri,sambalpuri,sambalpuri patta saree
strobe,strobe,ny bae strobe cream
downshifter,downshifter,nike downshifter shoe
virat,virat,virat kohli jersy
chaniya,chaniya,cotton chaniya choli
coolers,coolers,mens coolers
neerus,neerus,neerus women dresses
geroo,geroo,geroo jaipur
zebronics,zebronics,zebronics earphones
xplrboost,xplrboost,adidas xplrboost
sambalpuri,sambalpuri,sambalpuri dupatta
bazar,bazar,smart bazar
kohli,kohli,virat kohli jersy
downshifter,downshifter,nike for men downshifter
melatonin,melatonin,melatonin
macho,macho,macho hint
macho,macho,macho baniyan
mmtc,mmtc,mmtc silver bar
downshifter,downshifter,nike downshifter 10
kalakari,kalakari,kalakari tops
isro,isro,isro t shirt
xpdtn,xpdtn,dnmx xpdtn shirts
google,google,google play
macho,macho,macho innerwear
nayra,nayra,nayra cut suits
battu,battu,nazar battu
chaniya,chaniya,wedding chaniya choli
masala,masala,masala dani
tinyo,tinyo,yk x tinyo
lipliner,lipliner,insight lipliner
sambalpuri,sambalpuri,sambalpuri rekha maniyar sarees for women
lipliner,lipliner,lakme lipliner
kohli,kohli,kohli
kohli,kohli,virat kohli shirt
virat,virat,virat kohli shirt
rickie,rickie,puma rickie sneakers
google,google,google pixel phone
dhahab,dhahab,wisal dhahab
google,google,black google
terquois,turquoise,terquois
nayra,nayra,nayra suits
dazzel,dazzle,dazzel
ekana,ekana,ekana
faber,faber,faber
jaden,jaden,fur jaden bagpack
google,google,google pixel 9
google,google,google watch
cloudfoam,cloudfoam,cloudfoam adidas
rapido,rapido,moda rapido tshirt
chaniya,chaniya,girls chaniya choli
chura,chura,punjabi chura
neerus,neerus,neerus kurtas
downshifter,downshifter,downshifter 14
icecream,icecream,icecream mould
mandir,mandir,wooden mandir
icecream,icecream,icecream bowl
pagdi,pagdi,pagdi for men
vomero,vomero,nike vomero shoes
downshifter,downshifter,nike men downshifter 13 shoes
karagiri,karagiri,karagiri saree
mmtc,mmtc,mmtc gold coins in
chaniya,chaniya,women chaniya choli
virat,virat,virat tshirt
virat,virat,virat t shirt
virat,virat,virat kholi
lipliner,lipliner,brown lipliner
google,google,mens google
mcfarlane,mcfarlane,mcfarlane
macho,macho,macho trunk
kohli,kohli,kohli jersey
profoam,profoam,profoam
starwars,starwars,starwars
google,google,google phone
downshifter,downshifter,nike downshifter 13 men running shoes
sambalpuri,sambalpuri,sambalpuri dress for women
cloudfoam,cloudfoam,adidas men cloudfoam
strobe,strobe,so true strobe cream
claura,claura,claura nighty
macho,macho,underwear macho
vinay,vinay,vinay fashion
kohli,kohli,virat kohli jersey rcb
virat,virat,virat kohli jersey rcb
idli,idli,idli steamer
popcat,popcat,popcat
chaniya,chaniya,kids chaniya choli
zebronics,zebronics,zebronics headset
profoam,profoam,puma profoam shoes
bazar,bazar,mina bazar
qazmi,qazmi,qazmi kurti
bazar,bazar,dupatta bazar
strobe,strobe,face canada strobe cream
google,google,google pixel 6a back cover
mmtc,mmtc,mmtc silver coins
sambalpuri,sambalpuri,sambalpuri cotton sarees
kohli,kohli,rcb virat kohli
magnifying,magnifying,magnifying glass
auserio,auserio,auserio
fuzor,fuzor,asics fuzor
dhahab,dhahab,ajmal wisal dhahab
bazar,bazar,meena bazar suit set
zebronics,zebronics,zebronics earphone
nestasia,nestasia,nestasia bottle
virat,virat,virat kohli rcb
inddus,inddus,inddus dresses
idli,idli,idli mekar
xptdn,xptdn,dnmx xptdn
ohuhu,ohuhu,ohuhu markers
strobe,strobe,nybea strobe cream
downshifter,downshifter,nike women downshifter
vomero,vomero,nike vomero 15
virat,virat,rcb virat kohli
nayra,nayra,nayra women
modi,modi,modi jacket men
modi,modi,modi bandi
mmtc,mmtc,mmtc pamp gold
chura,chura,chura for women
chaniya,chaniya,chaniya choli for kids
virat,virat,virat rcb jersey
xylys,xylys,xylys watch
kohli,kohli,virat kohli rcb
virat,virat,virat kohli cap
kohli,kohli,virat kohli cap
virat,virat,virat jersy
vaste,vaste,vaste
strobe,strobe,strobe creame
google,google,google pixel 8
sambalpuri,sambalpuri,sambalpuri kurti set
leapers,leapers,little leapers
google,google,kids google
kalakari,kalakari,kalakari lehanga
virat,virat,virat cap
vomero,vomero,vomero 16
chaniya,chaniya,chaniya choli women
chaniya,chaniya,chaniya chori
claura,claura,claura dress for women
ubtan,ubtan,good vibes ubtan night cream
stylee,style,stylee
sunrisers,sunrisers,sunrisers hyderabad tshirt
monkstory,monkstory,monkstory shoes
modestouze,modestouze,modestouze attires for women
firangi,firangi,firangi yarn
coolers,coolers,mini coolers
bazar,bazar,duppata bazar
strobe,strobe,pac strobe cream
downshifter,downshifter,nike downshifter shoes men
downshifter,downshifter,nike downshifter 7
milenio,milenio,puma milenio tech sneakers
bobs,bobs,bobs
mandir,mandir,home mandir
downshifter,downshifter,downshifter 13 shoe
downshifter,downshifter,downshifter 13 for men
dharwad,dharwad,dharwad cotton saree
nestasia,nestasia,nestasia glass
dharwad,dharwad,dharwad cotton
strobe,strobe,faces canada strobe cream rose gold
dogtag,dogtag,dogtag
downshifter,downshifter,downshifter nike shoes
faber,faber,faber castel
sunrisers,sunrisers,sunrisers t shirt
google,google,fastrack google
flexfocus,flexfocus,flexfocus lite better running shoes
zebronics,zebronics,zebronics mouse
google,google,google pixel mobile
google,google,google women
gracit,gracit,gracit
bazar,bazar,bazar
speedportal,speedportal,adidas speedportal
autopress,autopress,arrow autopress
triveni,triveni,triveni sarees
kalakari,kalakari,kalakari blouse
sambalpuri,sambalpuri,sambalpuri dress piece
sambalpuri,sambalpuri,sambalpuri kurta for men
sambalpuri,sambalpuri,sambalpuri saree for women
sambalpuri,sambalpuri,sambalpuri women sarees
jaden,jaden,fur jaden duffle bag
macho,macho,macho trunks
macho,macho,macho sports
rajgharana,rajgharana,royal rajgharana sarees silk women sarees
coolers,coolers,coolers men
academia,academia,dark academia
fillers,fillers,cushion fillers
sambalpuri,sambalpuri,cotton sambalpuri saree
downshifter,downshifter,nike downshifter 9
downshifter,downshifter,men downshifter
rapido,rapido,moda rapido t shirt
mmtc,mmtc,silver mmtc
modi,modi,modi cort
inddus,inddus,inddus plus
inara,inara,inara for men
puella,puella,puella
mmtc,mmtc,mmtc 2gm
qazmi,qazmi,qazmi kurta
flexfocus,flexfocus,puma flexfocus lite
windrunner,windrunner,nike windrunner
vomero,vomero,nike vomero women
vomero,vomero,nike vomero men
downshifter,downshifter,nike downshifter 3
downshifter,downshifter,nike downshifter 13 mens
mmtc,mmtc,mmtc pendant
modi,modi,mens modi jacket
bazar,bazar,meena bazar sari
indiclub,indiclub,indiclub men relaxed fit pleated trousers
faiza,faiza,faiza
fivesleev,fivesleev,fivesleev t shirt
sambalpuri,sambalpuri,sambalpuri cotton
sambalpuri,sambalpuri,sambalpuri handloom saree
appe,appe,appe
ellis,ellis,perry ellis
roja,roja,roja
sunrisers,sunrisers,sunrisers tshirt
mandir,mandir,mandir decoration
virat,virat,virat kohli brand
kohli,kohli,virat kohli brand
victori,victori,victori slides
claura,claura,claura dresses for women
chaniya,chaniya,chaniya choli for navratri
chaniya,chaniya,chaniya choli for girl
pagdi,pagdi,groom pagdi
google,google,google pixel 8a cover
ubtan,ubtan,good vibes ubtan
cloudfoam,cloudfoam,adidas cloudfoam go lounger
kulfi,kulfi,kulfi mould
lipliner,lipliner,sheglam lipliner
sambalpuri,sambalpuri,saree sambalpuri
mmtc,mmtc,silver coin mmtc
zebronics,zebronics,zebronics speakers
zebronics,zebronics,zebronics earbuds
morphy,morphy,morphy richard
morphy,morphy,morphy
rapido,rapido,moda rapido kurta set
volvo,volvo,volvo
xylys,xylys,xylys watches
ubtan,ubtan,ubtan powder
pagdi,pagdi,wedding pagdi
dynamica,dynamica,zig dynamica
sunrisers,sunrisers,sunrisers hyderabad t shirt
zebronics,zebronics,zebronics bluetooth speaker
jordans,jordans,Air jordans
