Family,mounts-and-stands-standard.json,car-accessories-standard.json,professional-audio-standard.json,computer-and-laptops-standard.json,mobiles-standard.json,choppers-and-slicers-standard.json,smart-watch-accessories-standard.json,pc-components-standard.json,keyboards-standard.json,smart-devices-standard.json,pop-up-toasters-standard.json,networking-and-power-standard.json,juicer-mixer-grinders-standard.json,barbeque-and-tandoor-standard.json,guitars-standard.json,coffee-makers-and-grinders-standard.json,hoods-and-chimneys-standard.json,health-care-standard.json,juicers-standard.json,covers-for-appliances-standard.json,sewing-machines-standard.json,data-storage-devices-standard.json,kitchen-care-standard.json,mouse-and-mouse-pads-standard.json,gaming-titles-standard.json,smart-watch-bands-standard.json,sandwich-makers-standard.json,kitchen-appliances-standard.json,induction-cookers-standard.json,home-electronics-standard.json,food-processors-standard.json,accessories-standard.json,water-dispensers-standard.json,hand-mixers-standard.json,audio-standard.json,printing-consumables-standard.json,musical-keyboards-standard.json,chargers-and-adapters-standard.json,lenses-and-filters-standard.json,input-devices-standard.json,vacuum-cleaners-standard.json,personal-care-standard.json,computers-standard.json,epilators-standard.json,air-care-standard.json,office-products-standard.json,cookware-standard.json,rice-cookers-standard.json,e-slates-standard.json,earphones-standard.json,shavers-standard.json,hair-stylers-standard.json,electric-flour-mills-standard.json,egg-boilers-standard.json,wet-grinders-standard.json,home-appliance-additives-standard.json,air-fryers-standard.json,supplementary-standard.json,cleaners-and-protectors-standard.json,emergency-lights-and-torches-standard.json,stylus-pens-standard.json,audio-video-players-standard.json,stabilizers-standard.json,cooktops-and-hobs-standard.json,printers-standard.json,oven-toaster-grillers-otg-standard.json,resq-services-standard.json,screen-protectors-standard.json,promotions-standard.json,electronic-musical-instruments-standard.json,irons-standard.json,headphones-and-headsets-standard.json,sports-and-fitness-watches-standard.json,heaters-standard.json,mobiles-and-tablets-standard.json,cloth-dryers-standard.json,garment-steamers-standard.json,dishwashers-standard.json,camera-and-accessories-standard.json,water-purifiers-standard.json,electronic-accessories-standard.json,television-and-audio-systems-standard.json,batteries-and-power-banks-standard.json,hair-dryers-standard.json,gaming-standard.json,specialty-appliances-standard.json,wireless-dongles-standard.json,personal-lighting-standard.json,fans-standard.json,cable-cords-and-accessories-standard.json,refrigerators-standard.json,bags-standard.json,mixer-grinders-standard.json,electric-kettles-standard.json,networking-devices-standard.json,blenders-standard.json,microwave-ovens-standard.json,other-utilities-standard.json,cameras-standard.json,computing-software-standard.json
mobiles,0.0,0.0,0.0,0.0,91.02189781021897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04866180048661801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kitchencare,0.0,0.0,0.0,0.0,0.0,0.41946308724832215,0.0,0.0,0.0,0.0,2.684563758389262,0.0,4.614093959731544,0.08389261744966443,0.0,0.9228187919463088,0.0,0.33557046979865773,1.929530201342282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.936241610738255,20.721476510067113,2.097315436241611,0.0,1.342281879194631,0.0,0.0,0.7550335570469799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08389261744966443,1.8456375838926176,0.0,0.0,0.0,0.0,1.0906040268456376,0.16778523489932887,1.006711409395973,0.0,1.8456375838926176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7550335570469799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.174496644295302,0.0,0.0,0.0,0.0,0.0,0.0,16.526845637583893,6.375838926174497,0.0,2.684563758389262,0.0,0.0,0.0,0.0
fp,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.78571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
he_tvs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05824111822947001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4076878276062901,76.35410599883518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homecare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07818608287724785,0.0,0.0,0.0,0.1563721657544957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23455824863174357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.209538702111024,0.0,0.0,0.0,21.735731039874903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.924941360437842,0.0,0.0,0.0,0.0,0.0,15.715402658326818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
